Current p53 cistrome Gene Symbol,Gene(s),Peak w/DEGs,Peak w/o DEGs,up,down,Gene,Gene ID,Current p53 cistrome Gene Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL3,GRHL3|57822,5,2,5,,GRHL3,57822,GRHL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDIK1L,PDIK1L|149420,1,0,,1,PDIK1L,149420,PDIK1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS6KA1,RPS6KA1|6195,1,2,1,,RPS6KA1,6195,RPS6KA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFN,SFN|2810,4,3,4,,SFN,2810,SFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC9A1,SLC9A1|6548,3,1,3,,SLC9A1,6548,SLC9A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYTL1,SYTL1|84958,3,2,3,,SYTL1,84958,SYTL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTAFR,PTAFR|5724,1,1,1,,PTAFR,5724,PTAFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SESN2,SESN2|83667,5,4,5,,SESN2,83667,SESN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPTM5,LAPTM5|7805,1,13,1,,LAPTM5,7805,LAPTM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADGRB2,BAI2|576,1,0,1,,BAI2,576,ADGRB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF19B,RNF19B|127544,3,6,3,,RNF19B,127544,RNF19B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFPQ,SFPQ|6421,1,0,,1,SFPQ,6421,SFPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POU3F1,POU3F1|5453,2,4,2,,POU3F1,5453,POU3F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACF1,MACF1|23499,1,3,,1,MACF1,23499,MACF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXO5,EXO5|64789,2,1,2,,EXO5,64789,EXO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLK3,PLK3|1263,7,8,7,,PLK3,1263,PLK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCTEX1D4,TCTEX1D4|343521;BTBD19|149478,2,1,2,,TCTEX1D4,343521,TCTEX1D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTBD19,TCTEX1D4|343521;BTBD19|149478,2,1,2,,BTBD19,149478,BTBD19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIF2B3,EIF2B3|8891,1,2,,1,EIF2B3,8891,EIF2B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCDC163,CCDC163P|126661;MMACHC|25974,2,3,,2,CCDC163P,126661,CCDC163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMACHC,CCDC163P|126661;MMACHC|25974,2,3,,2,MMACHC,25974,MMACHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAF1,FAF1|11124,1,2,,1,FAF1,11124,FAF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCCHC11,ZCCHC11|23318,1,2,,1,ZCCHC11,23318,ZCCHC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLPP3,PPAP2B|8613,1,1,,1,PPAP2B,8613,PLPP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADD45A,GADD45A|1647,5,2,5,,GADD45A,1647,GADD45A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGR1,NEGR1|257194,1,14,,1,NEGR1,257194,NEGR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDR63,WDR63|126820,5,1,5,,WDR63,126820,WDR63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAH1,DDAH1|23576,1,6,,1,DDAH1,23576,DDAH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYR61,DDAH1|23576;CYR61|3491,2,3,1,1,CYR61,3491,CYR61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLCA2,CLCA2|9635,3,0,3,,CLCA2,9635,CLCA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC44A3,SLC44A3|126969,1,0,,1,SLC44A3,126969,SLC44A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSF1,CSF1|1435,4,6,4,,CSF1,1435,CSF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNC4-AS1,KCNC4-AS1|100873974,2,2,2,,KCNC4-AS1,100873974,KCNC4-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM212B-AS1,FAM212B-AS1|100506343,1,5,1,,FAM212B-AS1,100506343,FAM212B-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOC,RHOC|389,1,11,1,,RHOC,389,RHOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCLRE1B,AP4B1|10717;DCLRE1B|64858,1,5,,1,DCLRE1B,64858,DCLRE1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGF,NGF|4803,2,11,2,,NGF,4803,NGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHLH2,NHLH2|4808,5,6,5,,NHLH2,4808,NHLH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLPH3L,GOLPH3L|55204,1,0,1,,GOLPH3L,55204,GOLPH3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLLT11,MLLT11|10962,1,2,1,,MLLT11,10962,MLLT11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUFT1,TUFT1|7286,1,3,,1,TUFT1,7286,TUFT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCE1E,LCE1E|353135,1,5,1,,LCE1E,353135,LCE1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100A2,S100A2|6273,1,13,1,,S100A2,6273,S100A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNN3,KCNN3|3782,1,7,1,,KCNN3,3782,KCNN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMNA,LMNA|4000,2,14,2,,LMNA,4000,LMNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFI16,IFI16|3428,1,0,,1,IFI16,3428,IFI16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANGL2,VANGL2|57216,2,3,,2,VANGL2,57216,VANGL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARHGAP30,ARHGAP30|257106,1,5,1,,ARHGAP30,257106,ARHGAP30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECTIN4,PVRL4|81607,1,0,1,,PVRL4,81607,NECTIN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOS1AP,NOS1AP|9722,1,6,1,,NOS1AP,9722,NOS1AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUF2,NUF2|83540;RGS5|8490,2,4,,2,NUF2,83540,NUF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGS5,NUF2|83540;RGS5|8490,2,4,2,,RGS5,8490,RGS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCK2,UCK2|7371,1,3,,1,UCK2,7371,UCK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F5,F5|2153,1,5,1,,F5,2153,F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNM3,DNM3|26052,1,11,,1,DNM3,26052,DNM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF4,TNFSF4|7292,5,4,5,,TNFSF4,7292,TNFSF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR3A,TOR3A|64222,1,1,1,,TOR3A,64222,TOR3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBD6,ACBD6|84320,1,3,,1,ACBD6,84320,ACBD6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX6,STX6|10228,1,1,1,,STX6,10228,STX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR1,MR1|3140,1,0,1,,MR1,3140,MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IER5,IER5|51278,3,0,3,,IER5,51278,IER5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVNS1ABP,IVNS1ABP|10625,1,0,,1,IVNS1ABP,10625,IVNS1ABP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTGS2,PTGS2|5743;PACERR|103752588,1,1,,1,PTGS2,5743,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHLDA3,PHLDA3|23612,8,6,8,,PHLDA3,23612,PHLDA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAV1,NAV1|89796,2,2,,2,NAV1,89796,NAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL12,KLHL12|59349,2,4,2,,KLHL12,59349,KLHL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTG2,BTG2|7832;LINC01136|730227,6,1,6,,BTG2,7832,BTG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP2B4,ATP2B4|493,1,2,,1,ATP2B4,493,ATP2B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDM4,MDM4|4194,3,11,1,2,MDM4,4194,MDM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUAK2,NUAK2|81788,1,0,1,,NUAK2,81788,NUAK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAB29,RAB29|8934,1,0,1,,RAB29,8934,RAB29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASSF5,RASSF5|83593,2,2,2,,RASSF5,83593,RASSF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRK3,DYRK3|8444,6,1,6,,DYRK3,8444,DYRK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLXNA2,PLXNA2|5362,1,4,1,,PLXNA2,5362,PLXNA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAF5,TRAF5|7188,1,0,,1,TRAF5,7188,TRAF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC30A1,SLC30A1|7779,5,5,5,,SLC30A1,7779,SLC30A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTL,DTL|51514,1,1,,1,DTL,51514,DTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF3,ATF3|467,5,11,5,,ATF3,467,ATF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPN2,CAPN2|824,1,13,1,,CAPN2,824,CAPN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITPKB,ITPKB|3707,1,1,1,,ITPKB,3707,ITPKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COQ8A,ADCK3|56997,5,1,5,,ADCK3,56997,COQ8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3H2A,MIR4666A|100616308;HIST3H2A|92815,1,0,1,,HIST3H2A,92815,HIST3H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM67,TRIM67|440730,1,2,1,,TRIM67,440730,TRIM67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPCR,NTPCR|84284,7,6,7,,NTPCR,84284,NTPCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINC01354,LINC01354|100506795,1,0,1,,LINC01354,100506795,LINC01354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID2-AS1,ID2-AS1|100506299,1,0,1,,ID2-AS1,100506299,ID2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAP2,ASAP2|8853,1,2,,1,ASAP2,8853,ASAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2orf48,C2orf48|348738,1,4,1,,C2orf48,348738,C2orf48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM84A,FAM84A|151354,5,5,5,,FAM84A,151354,FAM84A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM49A,FAM49A|81553,2,10,2,,FAM49A,81553,FAM49A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC1,SDC1|6382,1,3,1,,SDC1,6382,SDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL29,KLHL29|114818,1,1,1,,KLHL29,114818,KLHL29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53I3,TP53I3|9540,7,1,7,,TP53I3,9540,TP53I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAREM2,GAREML|150946,1,0,1,,GAREML,150946,GAREM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGBL5,AGBL5|60509;AGBL5-AS1|100874031,1,4,1,,AGBL5,60509,AGBL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM98A,FAM98A|25940,1,1,,1,FAM98A,25940,FAM98A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH11,HEATR5B|54497;GPATCH11|253635,1,1,,1,GPATCH11,253635,GPATCH11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDC42EP3,CDC42EP3|10602,4,11,4,,CDC42EP3,10602,CDC42EP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC8A1,SLC8A1|6546,1,1,,1,SLC8A1,6546,SLC8A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAAO,HAAO|23498,2,14,2,,HAAO,23498,HAAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKCE,PRKCE|5581,1,0,,1,PRKCE,5581,PRKCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACYP2,ACYP2|98,1,6,1,,ACYP2,98,ACYP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRED2,SPRED2|200734,1,2,1,,SPRED2,200734,SPRED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANXA4,ANXA4|307,4,1,4,,ANXA4,307,ANXA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP26B1,CYP26B1|56603,1,3,1,,CYP26B1,56603,CYP26B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBX2,LBX2|85474,1,0,1,,LBX2,85474,LBX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCMF1,KCMF1|56888,2,3,,2,KCMF1,56888,KCMF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROM2,PROM2|150696,1,0,1,,PROM2,150696,PROM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM131,TMEM131|23505,1,4,1,,TMEM131,23505,TMEM131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSGA10,TSGA10|80705;LIPT1|51601,2,2,2,,TSGA10,80705,TSGA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBC1D8,TBC1D8|11138,1,0,1,,TBC1D8,11138,TBC1D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGFBRAP1,TGFBRAP1|9392,1,2,1,,TGFBRAP1,9392,TGFBRAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL2,FHL2|2274,3,7,3,,FHL2,2274,FHL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCC2,GCC2|9648,1,10,1,,GCC2,9648,GCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH3RF3,SH3RF3|344558,1,0,,1,SH3RF3,344558,SH3RF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL2L11,BCL2L11|10018,1,0,1,,BCL2L11,10018,BCL2L11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC20A1,SLC20A1|6574;FLJ42351|400999,1,1,,1,SLC20A1,6574,SLC20A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEAP3,STEAP3|55240,2,9,1,1,STEAP3,55240,STEAP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLI2,GLI2|2736,1,2,,1,GLI2,2736,GLI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWS1,IWS1|55677,1,0,,1,IWS1,55677,IWS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR39,GPR39|2863,1,10,1,,GPR39,2863,GPR39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF5C,KIF5C|3800,2,8,2,,KIF5C,3800,KIF5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR4A2,NR4A2|4929,1,1,1,,NR4A2,4929,NR4A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANC1,TANC1|85461,1,5,1,,TANC1,85461,TANC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBLL1,COBLL1|22837,1,0,1,,COBLL1,22837,COBLL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
